gamma_fit,theta_fit
603.4264960533334,0.21176510463
583.3903265733334,0.3285248438
519.49154637,0.32918428504333336
644.244114165,0.28693709092499997
603.2252357166667,0.28693709092499997
462.3432119016666,0.2651916809216667
437.43134197166665,0.19271041481150003
412.0177396366667,0.29107178883333334
427.0357532483333,0.27779102864166666
456.01273310500005,0.08383176108666666
446.83434577666674,0.08383176108666666
656.21745515,0.28693709092499997
571.8354565183333,0.312912708025
565.92863115,0.3982974990116666
592.415420345,0.28693709092499997
530.8616245666666,0.28693709092499997
358.1375538833334,0.28693709092499997
337.69671995833335,0.26602953557000003
337.9345334816667,0.25933422872666667
342.33993803333334,0.26777312228666666
442.83546608666666,0.08383176108666666
427.45771613333335,0.08883736268299999
728.0573101666668,0.5576729225166667
636.1690793866667,0.5594623103633333
597.4230971016666,0.477897540325
588.767295635,0.4495527923416666
463.7251549533334,0.5167204498716667
436.2124075566667,0.6816075202066666
434.54601515666667,0.7064440760933334
464.03135029,0.6906197842266667
778.468649545,0.08383176108666666
633.961884505,0.08383176108666666
609.2175897,0.09854897612916666
734.7868940866667,0.5969990580716666
678.9359670216667,0.6838143291866666
583.3953068433333,0.7008730447633332
560.8194706416666,0.6992233514333334
458.43530777499996,0.7092582396783333
434.64986681166664,0.6463644652183334
446.195831025,0.5286228923616666
439.6400321133334,0.6906197842266667
660.5926807650001,0.672985855255
667.0014794733333,0.38895986021666656
770.0981894600001,0.3737950344266666
752.2837509949999,0.45595868341333334
753.467712035,0.31638431314
743.2289910966667,0.08767114750616668
752.65092908,0.10532203211716668
587.1259629766666,0.11285925766383334
565.5437125566666,0.11306846650200002
520.614012415,0.253628785441
510.7441721633333,0.253628785441
509.0210760483333,0.253628785441
501.588183755,0.253628785441
496.3304267116667,0.253628785441
609.1293125483334,0.37492017004666667
584.9292608383333,0.4017714464466667
555.917539315,0.596011505955
553.4051314766667,0.8808439189416667
456.44286675833337,1.024655260765
438.78439993,0.9403928300900001
454.016892545,0.7546324513466668
471.0147759233333,1.070758642405
628.9476456633333,0.70203946097
640.3920441966667,0.70203946097
614.2304950266666,0.70203946097
623.1464684766667,0.68679237873
655.0081284466667,0.4627721250216667
661.0550018783333,0.37081977409333333
738.080273475,0.44279748367500005
745.3126378200002,0.45595868341333334
744.2693181100001,0.37254442612500005
724.1225899199999,0.32950025897883334
589.6471194683334,0.16957739994266668
568.017761,0.11546059732566667
537.26095766,0.10121345324016666
539.112394695,0.09094966405183334
536.9151447083333,0.253628785441
536.9327492183334,0.253628785441
520.5654735966666,0.253628785441
513.724891175,0.253628785441
503.2748426633333,0.253628785441
486.3640557416667,0.253628785441
570.066099935,0.3576046161965
538.3450998066667,0.3730016895416666
576.39930394,0.37492017004666667
556.3349333483333,0.37492017004666667
535.203104115,0.5884194513633333
551.4101663,1.26979333122
440.84109858499994,1.26979333122
433.53293048,1.234049620555
448.0397828683333,1.19573478824
465.24227236333337,1.0212094846350002
631.5779077633333,0.8951289808716667
643.480693405,0.70203946097
663.3373805966668,0.70203946097
623.4682521583334,0.70203946097
600.4485682349999,0.70203946097
614.1169801533334,0.7019822638100001
629.9154813283334,0.6337074225916667
642.6085113,0.34764215844833335
721.74071004,0.348371523305
719.095495195,0.39942050713500005
723.7387651783333,0.46700392975166666
693.4991242216666,0.4506153406463333
559.73156512,0.2346700283958333
544.36817839,0.2503647236121667
514.6981824933333,0.2234271374795
514.4823970750001,0.16810043383916667
551.8078582200001,0.253628785441
550.13525096,0.253628785441
508.68575451999993,0.253628785441
501.03701104833334,0.253628785441
484.4357388283332,0.253628785441
466.76595990333334,0.253628785441
507.99203058666666,0.27019655970333334
616.5830519716667,0.3576046161965
557.6859112666667,0.3576046161965
499.62528877,0.36054982034866667
498.03889695833334,0.3725580206766667
485.61548690000006,0.37492017004666667
451.5566850216667,0.4279960777166667
448.03053281,1.2673788847033334
440.57079161,0.9020243528466667
531.08419194,0.4829906040533333
541.89617786,0.5586101578166668
552.6907555233333,0.8963204641433334
570.39165446,0.8832521792266667
651.609040455,0.70203946097
674.98406665,0.70203946097
662.2087235316667,0.70203946097
603.4622031566666,0.70203946097
625.9499885683333,0.689616087005
644.84573711,0.7051602334683333
671.9478255816667,0.48308417074666665
665.73267201,0.3427215760616667
668.4945396066666,0.34445077962666665
658.8616285816667,0.43046774776333335
676.5167857833333,0.4486966273021667
641.1367873133335,0.35060951170383337
611.47656488,0.2617643740336667
591.6532085933334,0.25148675469666665
451.2696918683333,0.2327054671605
555.0970676766667,0.25985697703416666
558.6069187033333,0.253748085679
559.3143726666667,0.253628785441
516.5299968466667,0.253628785441
503.79296454,0.253628785441
491.9834430733333,0.253628785441
476.50780399666667,0.27600064833050003
511.44959445833337,0.357108059106
507.2348891216667,0.3576046161965
502.68834649166666,0.3576046161965
502.466070275,0.36728882494
455.60440171999994,0.37492017004666667
453.811862295,0.375276724265
448.234802285,1.1662623731783333
444.5156358566666,0.5302170976566667
536.5077877483334,0.41840735832666665
546.9971889416666,0.5302921588016667
552.6314636950001,0.7563355382649999
562.0666080433333,0.667742536315
631.4782792433333,0.6893997348933334
629.3231929183333,0.70203946097
629.86951127,0.70203946097
633.1971050899999,0.70203946097
602.5927547133334,0.6618554758066666
634.4194812366667,0.7034915155866667
676.5393484,0.6377226223216667
642.75686721,0.3602891839683333
623.1154651383334,0.3427215760616667
606.4539487483333,0.3940644327383333
643.0681224466666,0.391173437415
611.1178621233333,0.34047016916949996
578.3661712433334,0.38583808438
570.6006576133333,0.40863496136999994
432.1809866533333,0.16300053779749998
429.31869882999996,0.15196710455833332
555.4206277533333,0.2847479222571667
566.5032252416667,0.27299716444166666
566.1882412166667,0.26544177920016665
521.76631344,0.25611523672616665
511.163871645,0.253628785441
500.407487945,0.2537469173733333
486.37124889500006,0.2929854376985
509.807739695,0.3495999425775
505.5850386966667,0.3576046161965
506.0853676116667,0.36745820291000003
506.2678154166667,0.3737462302833333
464.2285799383333,0.37492017004666667
465.480027655,0.38467102703833334
461.4371955216667,1.0239172625183333
548.1716654100001,0.48149434445000006
542.557510335,0.4820220397983333
545.9891869366667,1.198455535255
557.9032952416667,0.8297934537883332
550.7771915633334,0.5806515410349999
615.34456157,0.5205670659683332
612.1700518083334,0.7016744340833334
607.4255959333333,0.70203946097
602.359524865,0.70203946097
582.2219888366667,0.6549907150966667
616.4649340883334,0.7035057892900001
650.1095498766666,0.7182566919000001
634.15120742,0.42299898409000003
591.2093810916666,0.3427215760616667
612.7100647933333,0.34327921746
611.79484012,0.4289885232666667
580.14075367,0.36391788537816666
571.3016058649999,0.48609380894666665
565.6001698416667,0.56525573974
430.0443771733334,0.33419597356499997
419.867788765,0.2731722751966667
411.8571460733333,0.17354627105416665
407.26131520166666,0.27006774022833335
300.3141879666667,1.2007658205766667
302.731060345,1.2106783923733335
561.24821721,0.2847479222571667
567.0942659333333,0.2847479222571667
520.79866008,0.27234290379816667
511.6303211383334,0.25881674584450004
501.6960517533333,0.306098859532
490.15438366499995,0.35748625089950004
514.4430775316666,0.3576046161965
510.9288332183333,0.3600397835156667
510.25232528500004,0.3744974342233334
512.570321025,0.37492017004666667
470.44261236499995,0.37492017004666667
469.97281272166674,0.3749358608233333
459.66242545,0.7453974032166667
549.3718634116667,0.542636887005
546.3153367916667,0.9935046668716666
538.9233288883333,1.9221167190200001
542.1309499833333,1.459923359615
538.1069337116667,0.6295915409049999
595.4836133516667,0.5560671096750001
596.728129865,0.48691143043833335
585.6956528733334,0.6671519790633333
577.4973685433333,0.70203946097
535.55986118,0.6683840274983333
566.3926401583334,0.7050673136983332
600.4560782583334,0.8033913659283333
617.8686365433334,0.47307847172000006
610.02821794,0.37034729137666667
555.9544124949999,0.3427215760616667
571.6813746883333,0.40813673693833336
560.7463321916666,0.48592655910666677
562.6179021266666,0.47612729410833327
562.1371192083334,0.5559134242483332
426.8933484533333,0.5039994000116667
414.8049155316667,0.7172084272600001
403.6435461583333,0.4676993443866666
412.2458385866666,0.6902005056300001
293.85518224,1.4496104226449997
294.7588166816667,1.3269529608200001
290.62539995500003,0.7660982654683333
285.344770245,0.7003466061316667
278.67104149,1.0331327163133335
563.8008213333333,0.2847479222571667
564.0423042366667,0.2847479222571667
519.017829535,0.2829100123161667
511.23903085999996,0.29496194444483337
571.41782517,0.30905161122183333
557.0535198466666,0.3034335375053333
513.4725875883333,0.4396017547671666
511.380879805,0.40257182263333335
542.5966882816666,0.37492017004666667
540.8595269333334,0.37492017004666667
468.1817178233333,0.37492017004666667
466.1807017516666,0.37492017004666667
555.4587260933333,0.38091858687666663
545.0820961866667,0.49670133461666666
543.5216630116666,0.688491307595
539.251320125,1.8332687481666665
516.0875244266667,1.951730024543333
521.4557884116666,1.1427847629266668
581.1411989116667,0.6161348355933334
577.4853932599999,0.5911538033566667
594.73530186,0.5214172735966667
592.0934096066666,0.5523630780933333
507.4726951133333,0.673697569875
517.3809976266666,0.6383451504200001
524.9088962866667,0.796829252195
585.5565400183333,0.5644733329766667
521.5158980166667,0.40064566967666665
520.6007568566667,0.6304043745000001
669.6424227316667,1.0321359827833334
684.6111364533333,0.6381793944166667
549.7899604033333,0.471989283915
550.6665371166666,0.5237126316116667
572.2831167033333,0.679624332845
557.0786669199999,0.7990686708983333
402.21660598166665,0.897799959985
407.1327969283333,1.5012557291833333
458.6773747683334,1.5393841831550001
463.00110221499995,1.427850819465
279.56579933,0.5051055723666666
276.815426255,0.66402274279
241.89426633666665,0.7421699579783334
237.348179055,1.1932477167766669
627.91147791,0.30369914095983336
630.9343075316666,0.2851144219286667
598.8705692966666,0.3210476485935
588.2148255866666,0.4541066992016667
569.109392175,0.48204926654833335
553.633946225,0.58267309679
541.6339628650001,0.5032544867128332
537.9963626383334,0.5127060153316667
539.1244784383334,0.5324174649816668
536.8023519116666,0.5339689974933334
536.245010955,0.45179368944833337
533.5935029499999,0.49745441884499997
537.3198116183333,0.601364805465
531.857997355,0.6417385564233333
522.0855879466667,0.74001600551
523.5084651066667,1.3784566230566666
519.2586437366667,1.2315557032833333
505.69728368166665,1.076710498745
589.4867231816667,0.6025437165183334
578.6248461499999,0.6127258431033333
570.72639811,0.5884812859499999
558.2350098999999,0.5422279619
545.8332310483333,0.43303567218333333
550.0648103883333,0.8033114125949999
563.0791127450001,0.8812398583049998
566.91621374,0.6042321080066667
574.4766751333334,0.38463603845166666
573.8118025233333,1.1450956417933333
666.6854816083332,1.2926540668383333
660.6305511433334,0.8203183689066667
662.2097527083333,0.4971667850366666
659.1284640116667,0.534643616845
549.1507953433334,0.7652111684633334
534.4437726566666,0.938185552815
536.4250682549999,1.2763928604333332
537.2158415066666,1.7572719666983334
439.1928945133334,1.9481671236833333
445.20715926833344,1.1755146799533334
438.4226706683333,0.8613110481566667
423.79668756,0.6784732731733334
229.72856601833334,0.9461068082166666
224.43201395666668,1.2998346802016667
215.7779876233333,0.8682173941966667
618.5465560183333,0.41324001869050003
631.3878690833333,0.42649561417500004
598.9747331083333,0.7324185159633333
586.2725877583333,0.9795371399549999
570.5518213733333,1.0747753969783334
558.7781541083333,0.6719128246483334
544.1438950933333,0.5792658376023334
537.448901765,0.5310295329485001
530.35716714,0.5690604619366666
532.4617592416666,0.7987679103866667
529.317461485,0.6315637827666666
526.7984081916667,0.6407783094733333
519.9606270066668,0.6979411451699999
522.2062432233333,0.7039082939966667
514.7475462416667,0.91216785211
506.88488487833337,1.3230183705516665
502.2277733816667,1.1912951698083334
492.37072221833336,0.79240138577
573.3696353333333,0.5517418927083333
556.0467939083334,0.5555698246866667
551.8447263583333,0.9667204762750001
555.3468937566666,0.5377043837333334
548.3731323233333,0.6856459196166668
558.9448755066667,0.9213606425316666
570.4609954683334,0.8270702078633334
583.8335610666667,0.836396474855
588.9159687683334,1.02727451779
572.60325092,1.4648982821399998
656.7867979450001,1.37306592247
639.3011365533333,1.0528055150200002
647.0064191383333,0.7428591357416665
637.7391818366666,0.4972143323016667
524.5431256533334,0.6593492204983334
513.4769732116667,0.9491229504533333
510.56341431500005,1.4681398118633333
513.048943745,1.7994381475166665
421.7103490266666,1.7978962696666667
426.25228921,1.7575089105833335
419.4715854183334,1.2119888850166665
403.75754017333327,1.11859286018
216.1584318,0.8329177406366666
206.708028375,0.70702700445
206.473306155,1.1149220661016668
618.2120605833334,0.39838919450366667
610.5737862833333,0.4256369566745
637.6717528099999,0.5401381979666666
605.687448645,0.7536949088150001
590.6221400983334,1.1268581335666668
578.9658979516668,0.9068246102333334
563.0113375566667,0.597205008604
550.992117225,0.5342392261083333
539.2209991933335,0.4431602959683333
530.4566979383333,0.46916190433000005
525.8872800683332,0.7656053317866666
522.7512876216667,0.7908154477716667
516.6043901216666,0.6770321372466667
511.5904265749999,0.6734665133550001
510.56717939833334,0.8140192672633333
499.4714129783333,0.7649080752483333
492.725060135,1.0324179724766667
485.0745595116667,1.0707701477233333
473.48997537,0.540604541865
556.022246075,0.6719137305566667
549.8591850633334,0.9545701305783334
549.9783852633333,1.03635706649
553.5842884933334,0.6187157651883334
540.9148652499999,0.55184006632
544.4671466383334,0.5454518434883333
569.1739817399999,0.7746447881416667
574.1526822666666,0.9405386556166668
575.1728168733333,1.1128751665016667
573.3878790683333,1.5178932298566667
664.0145134583333,1.3007304318983333
661.6415991999999,1.0762693187133334
644.8289108566667,0.9943371385216666
618.488551295,0.6825366077833334
503.86527399499994,0.8516852574883332
485.142137175,1.146423251865
488.2298767383333,1.6439115039833334
495.1322187166667,1.8538859780166668
408.89663710499997,1.7744252499999997
402.0472831966667,1.5493323992516665
397.6839283616667,1.2342567258716666
376.5228348300001,1.3490324491533334
198.54730229333333,0.8402845150900001
191.93052707166666,0.7893312448983334
192.00371386833334,0.7110315340183333
660.6399565983334,0.9328002713633333
644.528849105,0.9328002713633333
629.8908134899999,0.5015206530516667
627.2321795633333,0.4173251454601667
643.7205916266666,0.8897312862016666
610.333291135,1.1549874775716666
594.35153343,1.1549874775716666
583.7818909283334,0.9023677092883334
568.6055255016665,0.6561313726566667
556.8697612966666,0.48806613093833334
543.3707825433333,0.47701881068833335
578.2052300133332,0.72630640858
571.952794195,0.9014962614233333
521.139686395,0.91045873604
515.0770302683333,0.8873293456383332
542.2439161933333,0.7850322904516667
588.336643845,1.20633800356
493.53326617833335,0.9174854723816667
484.72673278166667,0.977835133665
476.503983535,0.5027262121016667
468.13387513666663,0.4276532375883333
549.6491680183333,0.4271604990149999
545.5492182483333,0.9787721742566667
658.18579046,0.9218062320549999
664.6767829383333,0.627190661365
523.6396122,0.6479001673866667
530.6832102349999,0.6927028370083333
717.306156125,0.8195940159033335
741.0227028350001,0.9485917847566667
567.3303374333334,1.1101460999416666
563.486427875,1.176729419155
644.2605301616667,1.1393842839866666
654.320334325,0.994791549835
651.2117004516666,0.9985047645799999
608.8428215616667,0.9764684963816667
483.70120121166667,1.1467036352016666
464.6119451266667,1.3748151404116664
468.8264839733333,1.632619932983333
479.38766531000005,1.885689877683333
325.26041712833336,1.9117875145333334
327.4836165566666,1.8862117026833334
385.28400486500004,1.4829209501366667
361.72813871666665,1.90585598785
275.4059211333333,1.4335499475133335
176.76421210333334,1.3523052763449999
721.8026678133334,0.9328002713633333
708.92569827,0.9328002713633333
694.7258702116667,0.9328002713633333
670.9888192866666,0.9328002713633333
659.9032261016666,0.598586311275
658.5813714233333,0.5445847268633334
656.8902219916666,1.1140691154566666
633.8679217916666,1.1355835010916666
623.678428645,0.9457115904133334
606.8601688033333,0.8846445098650001
594.3993271200001,0.7213265275466665
604.4151386816667,0.4894639148483333
592.4030107816667,0.8198532443766667
581.383911895,0.91045873604
573.2269267716667,0.91045873604
564.3677465716668,1.2214227301166665
550.62647547,1.6454645896016664
536.3444282933334,1.4328391265133331
580.1711428916667,1.5380579201433333
566.5859659566667,0.63880382793
557.2342874349999,0.48642674735999997
549.1398938533333,0.4812261417633334
542.4511329366667,0.4403241039633334
657.2888057366667,0.5110111277999999
654.4269068016666,1.0045504535166667
656.2100265416667,0.7737942499616666
649.6037243466667,0.6835177852033333
665.3429030133334,0.5424812484183333
705.0872066749998,0.7722828919066667
708.6554462866667,1.112430378495
699.5826915166668,1.1579001513816667
660.31205704,1.1579001513816667
668.3713610333334,1.1579001513816667
631.2497396583334,1.1579001513816667
631.9295187033333,0.9799109315433334
600.6618097549999,1.1063414368366666
575.06310759,1.1126925118433335
461.3442075983333,1.2360155627466665
431.48347406500005,1.5742398687999999
437.86525536500005,1.8777623372833332
450.24108321166665,1.8380997950499998
320.69171330333336,2.5034009095666665
317.368104925,2.337097432483333
318.6307846266667,2.0291556793
301.013360905,1.7565024776166664
275.00377105166666,1.6232276005
749.6042400416667,0.9328002713633333
749.7302788883333,0.9328002713633333
