share_agricultural_use_1995,share_agricultural_use_2008,share_agricultural_use_2017,site_area_ha,share_amazon_biome,share_forest_1995,share_forest_2008,share_forest_2017,share_other_1995,share_other_2008,share_other_2017,id,z_1995,z_2008,z_2017,area_amazon_biome,area_forest_1995,area_forest_2008,area_forest_2017,area_other_1995,area_other_2008,area_other_2017,zbar_1995,zbar_2008,zbar_2017,gamma,alpha,delta,kappa,zeta,zeta_alt,x_1995,x_2008,x_2017,mean_pa_2017,theta,pasture_area_2017
7.051851571304724e-5,3.891357846441679e-5,8.632098615635186e-5,450923,0.0837145671248436,0.014184098690748215,0.014634073711931705,0.01463348139077425,0.06982676684856415,0.06940820068120956,0.06935921311378479,1,31.7984206608744,17.54702754191021,38.92411804058065,37748.82375163585,6395.936333928257,6598.84042040538,6598.573329172097,31486.49518765509,31297.75407577306,31275.66445490718,6427.734754589132,6616.387447947291,6637.497447212678,761.0323400646431,0.045007413978564004,0.02,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,4867514.395113897,5021930.96685426,5021727.701787984,44.973619778118355,0.18697866112835848,815.6575925359294
0.009223505854606628,0.006196938455104828,0.003375209867954254,450923,0.8882479071617126,0.41116660833358765,0.4174303114414215,0.42116305232048035,0.4684157967567444,0.465179443359375,0.4642678499221802,2,4159.090930476785,2794.3420789912343,1521.9597592875361,400531.41104108095,185404.48052960634,188228.9283261001,189912.10704150796,211219.45632094145,209760.11013793945,209349.05169045925,189563.57146008313,191023.27040509135,191434.0668007955,1054.3839958181745,0.045007413978564004,0.02,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,195487517.02339926,198465569.57704622,200240286.27667403,44.973619778118355,0.2946696567258095,8555.888159005588
3.085432108491659e-4,1.3135802873875946e-4,9.639505879022181e-5,450923,0.03399091213941574,0.0270147155970335,0.027218172326683998,0.02710242010653019,0.006894814781844616,0.006877037230879068,0.0070078023709356785,3,139.12923026573844,59.23235639296763,43.46674909486319,15327.284074641764,12181.556601161137,12273.299920065328,12221.104581696913,3109.0305658737198,3101.014259259682,3159.979268509429,12320.685831426876,12332.532276458296,12264.571330791776,1056.0320418100646,0.045007413978564004,0.02,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,12864114.089949066,12960997.974333892,12905878.024583725,44.973619778118355,0.2952746634137763,252.48160695192183
5.076543311588466e-5,9.08641959540546e-6,6.281481182668358e-5,451302.09375,0.14771753549575806,0.14820820093154907,0.14825817942619324,0.14793461561203003,4.977777643944137e-5,4.1481482185190544e-5,3.113086277153343e-4,4,22.910546255324334,4.100720188097512,28.348456095894562,66665.23305282556,66886.6713913288,66909.22679060418,66763.20176381059,22.46481472933931,18.720679762029818,140.49423549036965,66909.58193758412,66913.32751079228,66791.55021990648,844.9948627035153,0.045007413978564004,0.02,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,56518893.70901102,56537952.90552495,56414562.50805822,44.973619778118355,0.30576456684206066,5526.000356975174
2.429629603284411e-5,5.333333319867961e-6,1.5012346011644695e-5,451302.09375,0.1382804960012436,0.13866962492465973,0.13870340585708618,0.13869708776474,2.548148222558666e-5,9.481481356488075e-6,6.518518603115808e-6,5,10.964969269992366,2.4069444939230493,6.775103187154713,62406.277370149735,62581.89206802612,62597.13747355901,62594.286105254665,11.49984628026067,4.2790123880346584,2.9418210937344895,62592.85703729611,62599.54441805293,62601.06120844182,844.9948627035153,0.045007413978564004,0.02,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,52881377.29574794,52894259.585103065,52891850.193534225,44.973619778118355,0.30576456684206066,5397.205269654672
0.0011350123677402735,0.0020037530921399593,0.0046779257245361805,451302.09375,0.4539972245693207,0.3996424674987793,0.39898863434791565,0.3964938223361969,0.053802862763404846,0.05359071493148804,0.05341135710477829,6,512.2334579933304,904.2979658408003,2111.157673890164,204889.89800482336,180359.48233361542,180064.4060636675,178938.49217926618,24281.344614868518,24185.60185413994,24104.65729141538,180871.71579160876,180968.70402950828,181049.64985315636,814.4074777491896,0.045007413978564004,0.02,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,146886111.09546927,146645798.77471733,145728846.08795926,44.973619778118355,0.27434273039740464,14889.387558085524
0.02162291295826435,0.009993481449782848,0.03268957883119583,451302.09375,0.8804159760475159,0.22073619067668915,0.23942597210407257,0.21131515502929688,0.6383669972419739,0.6313062906265259,0.6367219686508179,7,9758.465891038708,4510.079102138785,14752.875370324356,397333.57336119376,99618.70501878904,108053.44250869704,95366.97190582752,288096.3624362033,284909.8507572971,287353.95758873597,109377.17090982775,112563.52161083583,110119.84727615188,712.6831358712485,0.045007413978564004,0.02,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,70996571.08422345,77007866.24878187,67966432.59639041,44.973619778118355,0.16956890783121373,8496.112526616767
0.00268622231669724,0.002182913478463888,0.004332642070949078,451302.09375,0.9651468396186829,0.036416199058294296,0.038040295243263245,0.03411535918712616,0.9262548089027405,0.9251362085342407,0.9269094467163086,8,1212.29775580344,985.1534233058483,1955.3304380886548,435572.789496107,16434.706881424994,17167.664890152868,15396.333030183334,418020.7346038129,417515.90791543946,418316.17401972413,17647.004637228434,18152.818313458716,17351.66346827199,912.0785238830692,0.045007413978564004,0.02,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,14989743.192861028,15658258.451529821,14042664.703381758,44.973619778118355,0.25691032651048007,9872.85842403067
0.007105580065399408,0.0014536295784637332,0.006378864403814077,451302.09375,0.3784189522266388,0.04800000041723251,0.05328217148780823,0.0466633103787899,0.32379457354545593,0.32417580485343933,0.3258642852306366,9,3206.763160823015,656.0260722976127,2878.7948611886386,170781.2654545633,21662.500688297907,24046.355551994406,21059.24967525399,146129.16898595262,146301.21947344858,147063.2342029335,24869.26384912092,24702.38162429202,23938.044536442627,813.6816463254878,0.045007413978564004,0.02,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,17626379.223581254,19566078.17367484,17135524.94614016,44.973619778118355,0.24032418979114525,4159.332470416621
8.786172838881612e-4,4.604444548022002e-4,1.5367900778073817e-4,451302.09375,0.09435673803091049,0.030460048466920853,0.03335881605744362,0.032216690480709076,0.06282508373260498,0.06034331023693085,0.061792001128196716,10,396.5218198236653,207.7995465078102,69.35565797686968,42583.39343277016,13746.683648847858,15054.903531745425,14539.4598676397,28353.091828543693,27233.0622537327,27886.85948615754,14143.205468671524,15262.703078253235,14608.81552561657,560.9073924509113,0.045007413978564004,0.02,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,7710616.480322831,8444406.683591342,8155290.522002456,44.973619778118355,0.1517266175023347,30.98216845563093
0.002710123546421528,6.836543325334787e-4,9.92987654171884e-4,451302.09375,0.259412944316864,0.13867397606372833,0.12720414996147156,0.1267504245042801,0.1183016300201416,0.13179495930671692,0.13193915784358978,11,1223.0844308212108,308.5346316736177,448.1374073956722,117073.6049160529,62583.85574619798,57407.499211301096,57202.73196248291,53389.77332212776,59479.341080817394,59544.418182423804,63806.94017701919,57716.03384297471,57650.86936987858,560.9073924509113,0.045007413978564004,0.02,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,35103747.33612389,32200290.689738642,32085435.22614469,44.973619778118355,0.1517266175023347,158.2366626232656
