share_agricultural_use_1995,share_agricultural_use_2008,share_agricultural_use_2017,site_area_ha,share_amazon_biome,share_forest_1995,share_forest_2008,share_forest_2017,share_other_1995,share_other_2008,share_other_2017,area_amazon_biome,area_forest_1995,area_agricultural_use_1995,area_other_1995,area_forest_2017,area_agricultural_use_2017,area_other_2017,area_forest_2008,area_agricultural_use_2008,area_other_2008,id,z_1995,z_2008,z_2017,zbar_1995,zbar_2008,zbar_2017,gamma,alpha,delta,kappa,zeta,zeta_alt,x_1995,x_2008,x_2017,mean_pa_2017,theta,pasture_area_2017
0.02147041949319828,0.0062194568812401485,0.012649678826051058,7223078.625,7.14043253287673,7.089690221473575,7.1061987318098545,7.08208841457963,0.030860641852314075,0.029603555541143578,0.047278025175728544,3225844.4510228573,3202919.011672263,9699.928055032411,13942.94945323611,3199485.230900208,5713.628934761566,21360.696243570128,3210377.7019285583,2809.377304273562,13375.01896183403,1,9699.928055032411,2809.377304273562,5713.628934761566,3212618.9397272957,3213187.079232832,3205198.8598349695,852.6533743829831,0.045007413978564004,0.02,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,2730979703.1777644,2737339380.5932717,2728051878.4155803,44.973619778118355,0.47680220110460625,238995.7993063485
0.1715073597661103,0.23026627592844306,0.32691437179164495,7223078.625,10.47991381585598,2.7785232421010733,2.745739022269845,2.7027203403413296,7.5335138170048594,7.5075768628157675,7.453899445477873,4732369.236540991,1254591.9906949294,77469.73470032444,3401945.967952776,1220341.4118411932,147689.3937465045,3365972.256081546,1239756.633903745,104033.9088004074,3390234.181760434,2,77469.73470032444,104033.9088004074,147689.3937465045,1332061.7253952539,1343790.5427041524,1368030.8055876978,741.0149334517387,0.045007413978564004,0.02,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,929671400.4938874,918678179.5685352,904291210.0839026,44.973619778118355,0.3696273695047513,351254.1013769422
0.02135051810182631,0.012112592667108402,0.020686617193860002,7223078.625,3.5271767005324364,2.7012083269655704,2.7031477130949497,2.6707093194127083,0.8055306733585894,0.8128677553031594,0.836730482056737,1593388.0984099212,1220370.2902810886,9644.17598928688,363785.94730884756,1206600.6460217598,9344.426290023148,377872.0176747387,1221255.7602323615,5470.988033430317,367091.0834728345,3,9644.17598928688,5470.988033430317,9344.426290023148,1230014.4662703755,1226726.748265792,1215945.072311783,551.0553423448241,0.045007413978564004,0.02,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,672491568.0982976,672979511.0454324,664903732.0670068,44.973619778118355,0.1607899692801189,12620.862872492637
0.0018672592436814739,0.00168019751617976,0.001275456787652729,7237882.75,1.8454692251980305,1.8277623858302832,1.82623390853405,1.8283332381397486,0.017958518932573497,0.019666173378936946,0.017974320420762524,835019.24706884,827007.3445222054,844.8093136857351,8125.834172074428,827265.5800701508,577.0929400978703,8132.98579215894,826315.846900872,760.162810586053,8898.41054660902,4,844.8093136857351,760.162810586053,577.0929400978703,827852.1538358912,827076.009711458,827842.6730102487,1048.6247586775737,0.045007413978564004,0.02,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,867220377.0741787,866495255.5478818,867491169.2633249,44.973619778118355,0.25107051755087956,0.21741975796030283
0.00693530858552549,0.003961481499572983,0.0029852839461455005,7237882.75,8.803196661174297,8.68523769825697,8.68847943097353,8.691252753138542,0.11350123601732776,0.11323930881917477,0.11144928296562284,3983245.556923447,3929868.5479356144,3137.866169802234,51359.897958765294,3932589.4268640247,1350.8120472429541,50431.98849593934,3931334.567655742,1792.5201333299965,51241.92855780876,5,3137.866169802234,1792.5201333299965,1350.8120472429541,3933006.4141054167,3933127.087789072,3933940.238911268,1048.6247586775737,0.045007413978564004,0.02,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,4120957457.7135706,4122494762.2888064,4123810638.7232656,44.973619778118355,0.25107051755087956,1.0341626035887206
0.004733432113425806,0.004413629678310826,0.008304592745844275,7237882.75,4.027552371844649,3.995437224395573,4.002966714091599,3.99668584484607,0.02938745659776032,0.022169284493429586,0.024522864376194775,1822582.1094058678,1808048.915841837,2141.925146230248,13298.87401217706,1808613.9153275928,3758.080485774173,11097.440175622323,1811456.240327266,1997.208084667398,10032.42677192448,6,2141.925146230248,1997.208084667398,3758.080485774173,1810190.8409880672,1813453.4484119334,1812371.995813367,799.2164761348232,0.045007413978564004,0.02,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,1445022483.1985004,1447745673.066793,1445474040.0965242,44.973619778118355,0.3366854941781057,18.030067784605066
0.023236542867380194,0.018686419556615874,0.019816098603769206,7237882.75,14.426569074392319,13.518190324306488,13.533165127038956,13.433160036802292,0.8869728651770856,0.8765519014468737,0.975424793214188,6526321.212691154,6115265.563943218,10509.564315374555,401373.97988591506,6076785.951046711,8963.86542448523,441399.8327137076,6122036.430076368,8454.08047729837,396660.2780997289,7,10509.564315374555,8454.08047729837,8963.86542448523,6125775.128258593,6130490.510553666,6085749.816471196,672.8076629090139,0.045007413978564004,0.02,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,4114397532.1446095,4118953022.7635236,4088508153.7220664,44.973619778118355,0.7555330249345901,104002.84030650993
0.383254910557298,1.1427277101902291,1.3824851281242445,7237882.75,14.77203020453453,12.075784213840961,11.300529915839434,11.01913882046938,2.3139721346087754,2.329765548580326,2.371402445016429,6682585.851461271,5462962.213844864,173339.82881296703,1046727.5032953465,4985016.90824675,625307.1947267982,1072712.2876457947,5112314.868679941,516850.2265071418,1053869.8398261622,8,173339.82881296703,516850.2265071418,625307.1947267982,5636302.042657831,5629165.095187083,5610324.102973549,559.4281509475678,0.045007413978564004,0.02,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,3056134849.9876637,2859972854.047377,2788758791.4228406,44.973619778118355,0.9643213716687409,325426.23794610007
0.009378568109241314,0.010342913438307733,0.015698369994879613,7237882.75,7.577839776873589,7.553601320832968,7.5444124937057495,7.540395844727755,0.017321283887213212,0.02555022236242621,0.024213332982071734,3428925.898538754,3417957.433023123,4243.997012829677,7838.021130475925,3411981.297462777,7103.935333340407,10957.102711934323,3413798.796871487,4680.570213618932,11562.100510983932,9,4243.997012829677,4680.570213618932,7103.935333340407,3422201.430035953,3418479.367085106,3419085.232796117,527.9214200094449,0.045007413978564004,0.02,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,1804412941.5734043,1802217508.4709299,1801258011.6022172,44.973619778118355,0.4840636132585967,36647.49998419005
0.013146864239388378,0.004606617279932834,0.005620938225547434,7237882.75,11.966022551059723,10.790854647755623,10.800538077950478,10.820342540740967,1.1648954320698977,1.163749954488594,1.1429359107278287,5413769.264801083,4882134.8737508245,5947.920435985837,526986.3136579066,4895477.942706417,2542.926411305254,517049.34481392335,4886517.394373346,2083.9902801083235,526466.6861145314,10,5947.920435985837,2083.9902801083235,2542.926411305254,4888082.79418681,4888601.384653455,4898020.869117723,524.5570155064263,0.045007413978564004,0.02,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,2560958098.674576,2563256980.612721,2567957299.103618,44.973619778118355,0.365384773992404,79908.69463573187
